Bronx Rolling Sales File.  All Sales From May 2016 - April 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/1/2017  Co-op Sales Files as of 5/5/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3028,25, ,A5, 412 EAST 179 STREET                       ,            ,10457,1,                         -  ,1,"1,842","2,048",1901, 1 , A5 ,                        -   ,4/4/2017
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3030,56, ,A1, 412 EAST 182 STREET                       ,            ,10457,1,                         -  ,1,"1,306","1,440",1899, 1 , A1 ," $178,000 ",1/19/2017
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3036,13, ,A1, 4348 PARK AVENUE                          ,            ,10457,1,                         -  ,1,"3,525","1,764",1899, 1 , A1 ," $420,000 ",2/3/2017
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3037,101, ,S0, 443 EAST 180 STREET                       ,            ,10457,1,2,3,"1,293","2,820",1952, 1 , S0 ,                        -   ,8/6/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3043,55, ,A1, 1948 BATHGATE AVENUE                      ,            ,10457,1,                         -  ,1,"2,356","2,047",1901, 1 , A1 ," $220,000 ",6/22/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1, 2047 BATHGATE AVENUE                      ,            ,10457,1,                         -  ,1,"2,329","1,431",1901, 1 , A1 ," $273,796 ",9/21/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3046,52, ,A1, 2047 BATHGATE AVENUE                      ,            ,10457,1,                         -  ,1,"2,329","1,431",1901, 1 , A1 ," $231,244 ",9/21/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,27, ,A1, 538 EAST 182 STREET                       ,            ,10457,1,                         -  ,1,"1,209","1,048",1901, 1 , A1 ,                        -   ,9/20/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,28, ,A1, 540 EAST 182 STREET                       ,            ,10457,1,                         -  ,1,"1,209","1,048",1901, 1 , A1 ," $290,000 ",9/27/2016
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,105, ,A1, 2323 BASSFORD AVENUE                      ,            ,10458,1,                         -  ,1,922,"1,248",1901, 1 , A1 ,                        -   ,3/16/2017
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,151, ,B1, 519 EAST 171 STREET                       ,            ,10457,2,                         -  ,2,"2,000","2,400",1993, 1 , B1 ,                        -   ,10/24/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,136, ,B1, 543 CLAREMONT PARKWAY                     ,            ,10457,2,                         -  ,2,"2,265","2,394",1995, 1 , B1 ," $530,000 ",2/2/2017
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,137, ,B1, 541 CLAREMONT PARKWAY                     ,            ,10457,2,                         -  ,2,"3,664","2,394",1995, 1 , B1 ," $470,000 ",7/20/2016
